Age,Income,CreditScore,LoanAmount,LoanDuration,DebtToIncome,Repaid
22,15000,450,500000,60,33.33,false
23,20000,500,80000,36,4,false
24,22000,520,100000,48,4.55,false
25,25000,550,120000,60,4.8,false
26,28000,580,140000,72,5,false
27,30000,600,150000,84,5,false
28,32000,620,160000,90,5,false
29,35000,650,170000,96,4.86,false
30,18000,480,500000,84,27.78,false
31,25000,510,450000,72,18,false
32,28000,540,400000,60,14.29,false
33,30000,560,380000,54,12.67,false
34,32000,580,350000,48,10.94,false
35,35000,600,300000,42,8.57,false
36,38000,620,280000,36,7.37,false
37,40000,640,200000,24,5,false
38,20000,520,150000,48,7.5,false
39,25000,550,180000,54,7.2,false
40,28000,570,220000,60,7.86,false
41,30000,590,250000,72,8.33,false
42,32000,610,200000,60,6.25,false
43,35000,630,180000,48,5.14,false
44,38000,650,160000,36,4.21,false
45,40000,670,140000,24,3.5,false
46,42000,690,100000,18,2.38,false
47,45000,700,120000,24,2.67,false
48,50000,680,80000,12,1.6,false
49,48000,700,90000,15,1.88,false
50,52000,720,100000,18,1.92,false
51,55000,750,110000,20,2,false
52,58000,760,120000,24,2.07,false
60,65000,720,150000,36,2.31,false
25,150000,900,100000,12,0.67,true
28,180000,920,120000,15,0.67,true
35,200000,950,150000,24,0.75,true
40,220000,960,180000,30,0.82,true
45,250000,980,200000,36,0.8,true
50,280000,990,220000,42,0.79,true
30,100000,850,60000,18,0.6,true
35,120000,880,80000,24,0.67,true
40,140000,900,100000,30,0.71,true
45,160000,920,120000,36,0.75,true
50,180000,940,140000,42,0.78,true
55,200000,960,160000,48,0.8,true
26,80000,800,40000,12,0.5,true
30,95000,820,50000,18,0.53,true
35,110000,840,60000,24,0.55,true
40,125000,860,70000,30,0.56,true
45,140000,880,80000,36,0.57,true
50,155000,900,90000,42,0.58,true
24,70000,780,35000,12,0.5,true
28,85000,800,40000,15,0.47,true
32,100000,820,50000,18,0.5,true
36,115000,840,60000,24,0.52,true
40,130000,860,70000,30,0.54,true
44,145000,880,80000,36,0.55,true
48,160000,900,90000,42,0.56,true
22,60000,750,30000,12,0.5,true
26,75000,770,35000,15,0.47,true
30,90000,790,40000,18,0.44,true
34,105000,810,50000,24,0.48,true
38,120000,830,60000,30,0.5,true
42,135000,850,70000,36,0.52,true
46,150000,870,80000,42,0.53,true
35,75000,520,40000,18,0.53,false
40,85000,510,45000,20,0.53,false
38,80000,530,42000,19,0.53,false
42,90000,540,48000,21,0.53,false
45,95000,500,50000,24,0.53,false
50,100000,490,55000,24,0.55,false
44,88000,515,46000,20,0.52,false
48,92000,525,48000,22,0.52,false
36,78000,505,41000,19,0.53,false
41,87000,535,45000,21,0.52,false
39,82000,545,43000,20,0.52,false
43,91000,555,48000,22,0.53,false
37,79000,560,40000,18,0.51,true
41,86000,550,44000,20,0.51,true
45,95000,540,50000,24,0.53,true
42,90000,525,46000,21,0.51,true
38,83000,515,43000,19,0.52,true
46,98000,505,50000,24,0.51,true
40,89000,530,46000,22,0.52,true
44,94000,555,50000,24,0.53,true
36,75000,545,38000,18,0.51,true
39,81000,535,41000,19,0.51,true
43,88000,520,45000,21,0.51,true
35,70000,500,35000,12,0.5,false
40,72000,490,36000,12,0.5,false
38,71000,510,35000,12,0.49,false
42,75000,520,38000,12,0.51,false
