Age,Income,CreditScore,LoanAmount,LoanDuration,DebtToIncome,Repaid
36,19638,388,357448,60,18.2,false
58,66002,701,39351.4283218247,34,0.6,true
21,15182,340,437364,36,28.81,false
46,111427,867,34746.6228122548,43,0.31,true
38,16317,465,452544,69,27.73,false
43,19637,456,481264,63,24.51,false
28,10980,448,583440,48,53.14,false
34,10885,309,433194,83,39.8,false
35,144421,848,95797.3793193339,7,0.66,true
43,12415,518,302853,61,24.39,false
41,12961,537,503234,43,38.83,false
47,18447,435,494806,70,26.82,false
32,19299,343,387428,64,20.08,false
45,112441,752,65855.2348786827,46,0.59,true
49,83746,724,65102.1670597247,53,0.78,true
42,178797,727,126086.791305087,45,0.71,true
36,106923,858,20363.8534471846,26,0.19,true
25,12143,457,545646,57,44.94,false
43,53791,796,34970.9265042773,9,0.65,true
39,12379,486,408832,65,33.03,false
22,13059,390,537303,45,41.14,false
63,94539,764,60212.5144201005,36,0.64,true
38,18634,342,596168,64,31.99,false
57,187367,753,75830.3626030601,32,0.4,true
53,188077,778,108223.736012576,40,0.58,true
54,136835,879,101157.408243098,50,0.74,true
36,13262,520,475501,68,35.85,false
21,11881,402,507417,64,42.71,false
45,16505,397,583076,65,35.33,false
24,16295,354,587738,51,36.07,false
52,165683,845,41734.6310815551,35,0.25,true
28,174032,849,67996.5251145764,14,0.39,true
51,199771,724,135061.932284377,17,0.68,true
37,18359,406,487788,39,26.57,false
53,163852,765,97195.6172960946,13,0.59,true
57,173121,778,67777.4070594753,22,0.39,true
47,17436,302,488390,49,28.01,false
44,151428,838,33231.8732888281,55,0.22,true
46,10009,347,431859,77,43.15,false
42,61858,866,44027.9150647413,56,0.71,true
37,15887,305,588175,73,37.02,false
29,145732,891,25331.9790885318,46,0.17,true
31,13307,329,567611,62,42.66,false
40,106440,742,80227.487037474,45,0.75,true
21,10236,407,468122,42,45.73,false
51,150967,874,57082.1187094888,55,0.38,true
28,11147,548,559136,64,50.16,false
41,10595,492,396759,46,37.45,false
31,54686,719,13360.9362930444,36,0.24,true
55,132437,713,87000.9616117918,31,0.66,true
43,147428,716,112512.099150787,56,0.76,true
44,122731,807,85094.1777558117,48,0.69,true
60,121949,858,46804.9680509568,28,0.38,true
34,65652,889,45550.9476079072,54,0.69,true
38,18559,330,384276,38,20.71,false
31,13428,458,438597,41,32.66,false
41,184078,807,140275.67331518,30,0.76,true
47,131116,844,77245.1843518676,32,0.59,true
54,171743,706,65068.6552560675,51,0.38,true
45,18531,364,574447,65,31,false
45,10040,406,479631,78,47.77,false
60,163813,787,29118.2078419725,40,0.18,true
47,183460,759,75480.8559076231,19,0.41,true
22,16261,406,469549,58,28.88,false
46,97962,835,38755.2644888245,49,0.4,true
47,60266,721,38934.4954522171,45,0.65,true
31,10497,358,452062,81,43.07,false
46,131247,769,68541.0888420248,34,0.52,true
33,13133,331,399890,42,30.45,false
25,199483,808,120254.983693655,52,0.6,true
47,16642,526,528486,67,31.76,false
42,69643,729,52625.4075737852,26,0.76,true
20,15887,301,593974,62,37.39,false
31,14327,379,465416,65,32.49,false
44,12143,356,379227,70,31.23,false
60,130918,745,24775.4978673493,47,0.19,true
45,122445,701,22125.9065744401,22,0.18,true
33,11103,314,527791,41,47.54,false
39,11055,308,302952,39,27.4,false
31,17983,433,355039,38,19.74,false
57,60344,819,41146.9814298517,12,0.68,true
34,124163,768,31360.5011918379,34,0.25,true
33,101022,755,18358.9700817476,17,0.18,true
39,15049,389,579087,74,38.48,false
38,173077,766,89904.1481387884,6,0.52,true
40,192136,750,133424.529454729,12,0.69,true
36,109375,770,19207.0949399877,8,0.18,true
32,15979,320,391457,55,24.5,false
64,56469,702,24031.0241776369,25,0.43,true
34,18924,358,519860,76,27.47,false
48,15463,519,393022,69,25.42,false
58,159437,809,65634.6060763885,7,0.41,true
31,16723,382,400925,81,23.97,false
47,13545,490,369457,80,27.28,false
43,84049,845,47966.116063265,54,0.57,true
53,83369,762,14604.3469524508,12,0.18,true
44,13886,418,415186,63,29.9,false
28,11255,537,410232,44,36.45,false
49,16557,458,347446,42,20.98,false
44,19561,318,325697,60,16.65,false
36,13688,464,541594,61,39.57,false
28,17435,306,410694,63,23.56,false
54,199993,886,47097.3786703306,10,0.24,true
58,108987,786,24427.7592616229,25,0.22,true
40,10742,548,381259,39,35.49,false
31,16327,522,480631,53,29.44,false
32,73575,838,10496.0571855661,21,0.14,true
47,99981,736,31274.0462136263,11,0.31,true
36,10486,338,456381,65,43.52,false
23,15702,464,382500,80,24.36,false
24,14505,336,596581,63,41.13,false
46,119600,892,43846.5171892226,6,0.37,true
