Age,Income,CreditScore,LoanAmount,LoanDuration,DebtToIncome,Repaid
22,125527,341,91431,74,0.73,0
30,89686,301,104753,47,1.17,0
55,86339,324,405488,76,4.70,0
48,78701,312,454091,31,5.77,0
48,70095,328,231613,16,3.30,0
24,57935,369,406795,12,7.02,0
26,54159,354,110413,59,2.04,0
56,65434,389,289693,80,4.43,0
32,92847,396,60483,25,0.65,0
23,87743,368,401806,33,4.58,0
55,79493,348,87776,63,1.10,0
30,54582,315,280041,76,5.13,0
37,103462,310,142368,69,1.38,0
42,75299,394,133504,78,1.77,0
57,103795,350,232213,38,2.24,0
41,149308,391,82002,75,0.55,0
22,92952,370,287821,52,3.10,0
18,25612,389,130537,55,5.10,0
22,31144,332,232869,71,7.48,0
44,138452,343,142289,54,1.03,0
28,103976,349,240857,61,2.32,0
57,102305,326,171054,33,1.67,0
33,52977,370,160340,58,3.03,0
45,29769,351,137501,19,4.62,0
57,149403,332,63864,17,0.43,0
63,118333,350,94301,76,0.80,0
42,63396,313,111060,50,1.75,0
57,114681,324,395035,82,3.44,0
53,89484,300,469230,15,5.24,0
37,91693,356,282403,62,3.08,0
31,59135,348,275648,51,4.66,0
63,111035,343,397683,16,3.58,0
36,148997,381,472377,56,3.17,0
60,54073,300,250289,58,4.63,0
27,70004,358,206763,78,2.95,0
63,121079,339,267494,83,2.21,0
40,70743,310,259737,26,3.67,0
40,116331,313,256578,28,2.21,0
34,116327,305,292695,68,2.52,0
57,62817,360,60428,41,0.96,0
53,47339,305,184811,76,3.90,0
35,42898,366,91456,71,2.13,0
45,88218,346,386273,58,4.38,0
64,80578,359,180838,44,2.24,0
54,134730,398,406685,44,3.02,0
40,72590,344,373685,28,5.15,0
50,39485,307,221757,17,5.62,0
62,110311,311,260149,52,2.36,0
48,119686,319,258633,19,2.16,0
36,88491,387,384593,69,4.35,0
29,86797,394,491267,79,5.66,0
38,39009,322,472949,26,12.12,0
28,137679,321,456188,63,3.31,0
40,29984,327,393563,26,13.13,0
41,28407,380,126497,28,4.45,0
59,87735,387,249584,59,2.84,0
50,76746,316,318960,76,4.16,0
44,57993,379,201024,27,3.47,0
22,82099,376,103869,33,1.27,0
60,102357,367,262706,32,2.57,0
31,99472,395,52199,53,0.52,0
62,59257,306,207747,68,3.51,0
45,23140,367,91050,62,3.93,0
45,84809,342,354442,54,4.18,0
27,110748,326,225233,41,2.03,0
34,136910,339,206520,44,1.51,0
36,97409,353,68184,78,0.70,0
49,123627,311,103547,67,0.84,0
60,85251,323,153032,18,1.80,0
59,28831,387,320739,38,11.12,0
61,94345,324,211938,50,2.25,0
21,131000,335,257313,82,1.96,0
47,95491,335,187929,73,1.97,0
61,82661,338,59731,77,0.72,0
18,59165,383,96711,48,1.63,0
51,111968,348,86358,75,0.77,0
27,24354,342,271956,79,11.17,0
48,71651,371,68393,70,0.95,0
54,29389,381,432541,60,14.72,0
61,148036,326,456829,63,3.09,0
41,71820,327,446658,83,6.22,0
39,136544,311,353270,59,2.59,0
58,87543,347,156149,54,1.78,0
32,32554,328,294849,12,9.06,0
52,75842,380,188781,59,2.49,0
27,122450,331,332853,12,2.72,0
47,139116,382,156532,25,1.13,0
62,45490,333,257609,45,5.66,0
42,57083,355,193539,46,3.39,0
59,80107,347,278383,22,3.48,0
35,82730,376,81044,48,0.98,0
39,99627,395,207157,31,2.08,0
41,50724,360,239883,50,4.73,0
29,92395,365,364477,56,3.94,0
56,52777,347,393333,51,7.45,0
32,27119,394,292648,66,10.79,0
21,123300,360,346501,52,2.81,0
46,30756,379,54624,22,1.78,0
55,55264,329,380251,17,6.88,0
63,123449,358,395899,13,3.21,0
52,33075,372,386676,22,11.69,0
58,23619,335,191713,64,8.12,0
19,119662,374,418681,13,3.50,0
46,35136,355,313426,48,8.92,0
60,28738,373,198138,34,6.89,0
38,76952,310,118379,79,1.54,0
29,90544,317,95069,19,1.05,0
24,53460,392,376677,75,7.05,0
31,36508,331,469305,66,12.85,0
59,80677,364,53381,57,0.66,0
24,38604,374,139191,60,3.61,0
36,27386,346,143566,53,5.24,0
47,139613,360,495876,50,3.55,0
54,112451,306,199492,36,1.77,0
29,112446,321,425422,52,3.78,0
27,131079,313,267264,83,2.04,0
21,59270,300,492639,42,8.31,0
50,94451,365,380126,59,4.02,0
29,70845,358,421333,48,5.95,0
59,50113,388,125434,49,2.50,0
48,49416,365,90484,24,1.83,0
36,80399,325,187218,28,2.33,0
52,53699,352,362656,52,6.75,0
52,119887,341,162189,62,1.35,0
47,77158,322,231561,52,3.00,0
59,49716,332,419830,71,8.44,0
48,39623,322,89870,53,2.27,0
47,79736,316,352704,38,4.42,0
49,91276,384,65244,55,0.71,0
62,42885,327,225200,63,5.25,0
30,127718,387,263246,43,2.06,0
32,107870,324,481982,19,4.47,0
22,59563,339,220860,20,3.71,0
58,147662,331,244481,45,1.66,0
40,129672,379,359369,51,2.77,0
49,98552,308,425556,47,4.32,0
64,117301,338,484011,55,4.13,0
34,53516,394,284566,56,5.32,0
38,31956,375,368313,17,11.53,0
36,74018,337,204509,70,2.76,0
51,106693,385,326580,49,3.06,0
50,64314,390,333438,34,5.18,0
28,39504,324,302917,29,7.67,0
21,141439,378,79181,72,0.56,0
44,75909,393,459992,83,6.06,0
41,93505,395,173987,53,1.86,0
23,71224,310,429393,72,6.03,0
56,113118,357,428788,22,3.79,0
46,57368,361,391222,43,6.82,0
25,41413,381,55274,18,1.33,0
46,55641,340,182350,38,3.28,0
52,124480,301,275884,30,2.22,0
27,21880,325,381478,38,17.44,0
45,35623,364,267450,14,7.51,0
29,40535,325,250164,20,6.17,0
49,77675,330,319438,57,4.11,0
22,136426,331,279289,69,2.05,0
41,126437,395,457188,21,3.62,0
54,36134,336,243696,23,6.74,0
21,50806,389,462160,62,9.10,0
19,67756,380,246032,46,3.63,0
62,117054,353,98347,60,0.84,0
40,27898,313,472128,80,16.92,0
50,112639,361,387415,48,3.44,0
27,120603,322,434743,82,3.60,0
54,110320,304,472456,28,4.28,0
43,76369,354,196866,63,2.58,0
64,77498,354,90237,25,1.16,0
49,122159,372,53467,66,0.44,0
57,63543,317,415244,46,6.53,0
55,130131,318,411311,65,3.16,0
19,131844,382,183047,74,1.39,0
43,35044,325,273553,31,7.81,0
24,82548,380,200265,42,2.43,0
38,47768,301,312531,70,6.54,0
40,47940,325,273698,30,5.71,0
45,39869,323,65028,13,1.63,0
57,144232,391,55923,27,0.39,0
64,28895,386,305668,56,10.58,0
33,99565,310,92520,39,0.93,0
56,43179,365,59803,80,1.39,0
20,110771,305,394820,60,3.56,0
62,148693,329,72804,18,0.49,0
30,67441,316,212544,43,3.15,0
40,126683,305,80221,14,0.63,0
26,129905,317,360509,15,2.78,0
55,56090,337,450812,16,8.04,0
44,126336,387,276390,27,2.19,0
41,114355,367,248014,55,2.17,0
32,89047,391,157594,20,1.77,0
59,21395,314,294673,58,13.77,0
36,143537,343,471086,74,3.28,0
59,102088,341,323637,65,3.17,0
35,85330,332,191689,78,2.25,0
58,138813,340,83748,54,0.60,0
42,21887,342,158714,28,7.25,0
61,75403,326,370426,81,4.91,0
20,107074,352,435327,61,4.07,0
64,134271,323,105773,22,0.79,0
29,145451,302,409556,83,2.82,0
22,32917,464,397885,74,12.09,0
53,107260,438,342917,24,3.20,0
20,53600,453,221244,62,4.13,0
51,57365,415,492147,25,8.58,0
38,50157,421,173595,55,3.46,0
23,67078,490,243342,41,3.63,0
45,110249,439,375149,68,3.40,0
58,102756,447,443250,27,4.31,0
42,128758,471,498941,68,3.88,1
62,122357,464,51925,43,0.42,0
63,145250,447,394385,75,2.72,0
57,92688,464,212883,46,2.30,0
43,141808,490,321923,58,2.27,0
49,59044,432,333841,42,5.65,0
