Age,Income,CreditScore,LoanAmount,LoanDuration,DebtToIncome,Repaid
25,35000,650,15000,24,0.4286,false
30,50000,700,25000,36,0.5,true
35,75000,750,40000,48,0.5333,true
40,100000,800,60000,60,0.6,true
45,120000,850,80000,72,0.6667,true
50,150000,900,100000,84,0.6667,true
22,25000,600,10000,12,0.4,false
27,40000,680,20000,24,0.5,false
32,55000,720,30000,36,0.5455,true
37,80000,760,45000,48,0.5625,true
42,110000,820,70000,60,0.6364,true
47,130000,860,85000,72,0.6538,true
52,160000,920,110000,84,0.6875,true
20,20000,550,8000,12,0.4,false
26,30000,620,12000,18,0.4,false
31,45000,690,22000,30,0.4889,true
36,65000,740,35000,42,0.5385,true
41,95000,800,55000,54,0.5789,true
46,115000,840,75000,66,0.6522,true
51,140000,880,95000,78,0.6786,true
55,170000,940,120000,90,0.7059,true
23,28000,610,11000,15,0.3929,false
28,38000,670,18000,24,0.4737,false
33,52000,710,28000,36,0.5385,true
38,70000,750,42000,48,0.6,true
43,105000,810,65000,60,0.619,true
48,125000,850,80000,72,0.64,true
53,155000,910,105000,84,0.6774,true
56,180000,950,130000,96,0.7222,true
21,22000,580,9000,12,0.4091,false
29,42000,680,19000,27,0.4524,false
34,58000,730,32000,39,0.5517,true
39,85000,780,48000,51,0.5647,true
44,108000,830,68000,63,0.6296,true
49,128000,860,82000,75,0.6406,true
54,158000,920,108000,87,0.6835,true
57,185000,960,135000,99,0.7297,true
24,26000,620,10000,15,0.3846,false
30,48000,690,21000,30,0.4375,false
35,62000,740,34000,42,0.5484,true
40,90000,790,52000,54,0.5778,true
45,112000,840,72000,66,0.6429,true
50,135000,870,88000,78,0.6519,true
55,165000,930,115000,90,0.697,true
58,190000,970,140000,102,0.7368,true
19,18000,540,7000,10,0.3889,false
25,32000,640,14000,21,0.4375,false
31,47000,700,24000,33,0.5106,true
36,67000,750,38000,45,0.5672,true
41,98000,800,58000,57,0.5918,true
46,118000,840,78000,69,0.661,true
51,142000,880,92000,81,0.6479,true
56,175000,940,125000,93,0.7143,true
59,195000,980,145000,105,0.7436,true
18,16000,520,6000,9,0.375,false
26,34000,650,16000,24,0.4706,false
32,51000,710,27000,36,0.5294,true
37,72000,760,41000,48,0.5694,true
42,102000,810,62000,60,0.6078,true
47,122000,850,77000,72,0.6311,true
52,152000,900,102000,84,0.6711,true
57,178000,950,128000,96,0.7191,true
60,200000,990,150000,108,0.75,true
17,14000,500,5000,8,0.3571,false
27,36000,660,17000,25,0.4722,false
33,53000,720,29000,37,0.5472,true
38,74000,770,43000,49,0.5811,true
43,106000,820,66000,61,0.6226,true
48,126000,860,79000,73,0.627,true
53,156000,910,106000,85,0.6795,true
58,182000,960,132000,97,0.7253,true
61,205000,995,155000,111,0.7561,true
16,12000,480,4000,7,0.3333,false
28,38000,670,18000,26,0.4737,false
34,56000,730,31000,38,0.5536,true
39,76000,780,44000,50,0.5789,true
44,109000,830,69000,62,0.633,true
49,129000,870,81000,74,0.6279,true
54,159000,920,109000,86,0.6855,true
59,187000,970,137000,98,0.7326,true
62,210000,1000,160000,114,0.7619,true
15,10000,460,3000,6,0.3,false
29,40000,680,19000,28,0.475,false
35,59000,740,33000,40,0.5593,true
40,87000,790,50000,52,0.5747,true
45,111000,840,71000,64,0.6396,true
50,134000,870,87000,76,0.6493,true
55,164000,930,114000,88,0.6951,true
60,192000,980,142000,100,0.7396,true
63,215000,1000,165000,117,0.7674,true
14,8000,440,2000,5,0.25,false
30,43000,690,20000,29,0.4651,false
36,61000,750,36000,43,0.5902,true
41,92000,800,54000,55,0.587,true
46,114000,840,74000,67,0.6491,true
51,137000,880,89000,79,0.6496,true
56,167000,940,118000,91,0.7066,true
61,197000,990,147000,103,0.7462,true
64,220000,1000,170000,120,0.7727,true
13,6000,420,1000,4,0.1667,false
31,45000,700,22000,31,0.4889,true
37,63000,760,37000,44,0.5873,true
42,97000,810,57000,56,0.5876,true
47,117000,850,76000,68,0.6496,true
52,147000,890,97000,80,0.6599,true
57,172000,950,122000,92,0.7093,true
62,202000,995,152000,106,0.7624,true
65,225000,1000,175000,123,0.7778,true
12,4000,400,500,3,0.125,false
32,49000,710,25000,32,0.5102,true
38,69000,770,41000,47,0.5942,true
43,101000,820,61000,58,0.604,true
48,121000,860,75000,70,0.6198,true
53,151000,900,101000,82,0.6689,true
58,177000,960,127000,94,0.7175,true
63,207000,1000,157000,109,0.7585,true
66,230000,1000,180000,126,0.7826,true
11,2000,380,200,2,0.1,false
33,51000,720,26000,34,0.5098,true
39,71000,780,42000,48,0.5915,true
44,104000,830,64000,59,0.6154,true
49,124000,870,78000,71,0.629,true
54,154000,910,104000,83,0.6753,true
59,182000,970,132000,95,0.7253,true
64,212000,1000,162000,112,0.7642,true
67,235000,1000,185000,129,0.7872,true
10,1000,360,100,1,0.1,false
34,53000,730,28000,35,0.5283,true
40,73000,790,44000,49,0.6027,true
45,107000,840,67000,60,0.6262,true
50,127000,870,79000,73,0.622,true
55,157000,920,107000,85,0.6815,true
60,187000,980,137000,97,0.7326,true
65,217000,1000,167000,115,0.7696,true
68,240000,1000,190000,132,0.7917,true
9,500,340,50,1,0.1,false
35,55000,740,30000,37,0.5455,true
41,75000,800,46000,50,0.6133,true
46,110000,850,70000,61,0.6364,true
51,130000,880,82000,74,0.6308,true
56,160000,930,110000,86,0.6875,true
61,190000,990,140000,98,0.7368,true
66,222000,1000,172000,118,0.7748,true
69,245000,1000,195000,135,0.7959,true
8,250,320,25,1,0.1,false
36,57000,750,32000,38,0.5614,true
42,77000,810,48000,51,0.6234,true
47,113000,860,72000,62,0.6372,true
52,136000,890,86000,75,0.6324,true
57,163000,940,113000,87,0.6933,true
62,193000,995,143000,99,0.7409,true
67,227000,1000,177000,121,0.7797,true
70,250000,1000,200000,138,0.8,true
